id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,Batting_first,BF_Set,BF_wkts_fallen,BF_HScorer,BF_PlayerScored,BF_PlayerBallsfaced,BF_HWtaker,BF_HWballs,PDis_by_BF,RC_by_BF,Batting_second,BS_score,BS_wkts_fallen,BS_HScorer,BS_PlayerScored,BS_PlayerBallsfaced,BS_HWtaker,BS_HWballs,PDis_by_BS,RC_by_BS
1,2017,Hyderabad,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,Sunrisers Hyderabad,207,4,Yuvraj Singh,62,30,B Kumar,25.0,2.0,28.0,Royal Challengers Bangalore,172.0,10.0,CH Gayle,32.0,23.0,STR Binny,6,1,10
2,2017,Pune,2017-04-06,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,Mumbai Indians,184,8,JC Buttler,38,19,TG Southee,26.0,1.0,34.0,Rising Pune Supergiant,187.0,3.0,SPD Smith,84.0,55.0,Imran Tahir,24,3,28
3,2017,Rajkot,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,Gujarat Lions,183,4,SK Raina,68,52,P Kumar,12.0,0.0,13.0,Kolkata Knight Riders,184.0,0.0,CA Lynn,93.0,46.0,Kuldeep Yadav,24,2,25
4,2017,Indore,2017-04-08,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,Rising Pune Supergiant,163,6,BA Stokes,50,34,Imran Tahir,24.0,2.0,29.0,Kings XI Punjab,164.0,4.0,GJ Maxwell,44.0,23.0,Sandeep Sharma,24,2,33
5,2017,Bangalore,2017-04-08,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,KM Jadhav,M Chinnaswamy Stadium,,,Royal Challengers Bangalore,157,8,KM Jadhav,69,38,P Negi,6.0,2.0,3.0,Delhi Capitals,142.0,9.0,RR Pant,57.0,39.0,CH Morris,24,3,22
6,2017,Hyderabad,2017-04-09,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,Gujarat Lions,135,7,DR Smith,37,27,P Kumar,12.0,1.0,16.0,Sunrisers Hyderabad,140.0,1.0,DA Warner,76.0,47.0,Rashid Khan,24,3,19
7,2017,Mumbai,2017-04-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,Kolkata Knight Riders,178,7,MK Pandey,81,48,AS Rajpoot,25.0,3.0,37.0,Mumbai Indians,180.0,6.0,N Rana,50.0,30.0,KH Pandya,24,3,24
8,2017,Indore,2017-04-10,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,Royal Challengers Bangalore,148,4,AB de Villiers,89,49,TS Mills,12.0,1.0,24.0,Kings XI Punjab,150.0,2.0,HM Amla,58.0,39.0,VR Aaron,24,2,22
9,2017,Pune,2017-04-11,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Capitals,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,Delhi Capitals,205,4,SV Samson,102,64,A Mishra,18.0,3.0,11.0,Rising Pune Supergiant,108.0,10.0,MA Agarwal,20.0,19.0,Imran Tahir,25,1,25
10,2017,Mumbai,2017-04-12,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,Sunrisers Hyderabad,158,8,DA Warner,49,34,B Kumar,24.0,3.0,23.0,Mumbai Indians,159.0,6.0,N Rana,45.0,37.0,JJ Bumrah,24,3,24
11,2017,Kolkata,2017-04-13,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,Kings XI Punjab,170,9,DA Miller,28,20,VR Aaron,14.0,1.0,23.0,Kolkata Knight Riders,171.0,2.0,G Gambhir,72.0,52.0,UT Yadav,27,4,33
12,2017,Bangalore,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,Royal Challengers Bangalore,142,5,V Kohli,62,48,S Badree,25.0,4.0,10.0,Mumbai Indians,145.0,6.0,KA Pollard,70.0,49.0,MJ McClenaghan,25,2,20
