Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
V Kohli,Royal Challengers Bangalore,169.0,5429.0,26.0,4.0
SK Raina,Chennai Super Kings,160.0,4566.0,59.0,24.0
MS Dhoni,Chennai Super Kings,143.0,3903.0,0.0,0.0
AB de Villiers,Royal Challengers Bangalore,116.0,3744.0,0.0,0.0
RG Sharma,Mumbai Indians,138.0,3744.0,8.0,1.0
DA Warner,Sunrisers Hyderabad,71.0,3306.0,0.0,0.0
CH Gayle,Royal Challengers Bangalore,84.0,3163.0,24.0,13.0
G Gambhir,Kolkata Knight Riders,107.0,3035.0,0.0,0.0
AM Rahane,Rajasthan Royals,93.0,2840.0,0.0,0.0
KA Pollard,Mumbai Indians,132.0,2774.0,81.0,56.0
S Dhawan,Sunrisers Hyderabad,85.0,2550.0,0.0,0.0
SE Marsh,Kings XI Punjab,69.0,2477.0,0.0,0.0
RV Uthappa,Kolkata Knight Riders,84.0,2474.0,0.0,0.0
AT Rayudu,Mumbai Indians,105.0,2416.0,0.0,0.0
SR Watson,Rajasthan Royals,76.0,2372.0,70.0,61.0
SR Tendulkar,Mumbai Indians,78.0,2334.0,4.0,0.0
V Sehwag,Delhi Capitals,79.0,2174.0,15.0,6.0
YK Pathan,Kolkata Knight Riders,91.0,1893.0,45.0,21.0
DA Miller,Kings XI Punjab,77.0,1875.0,0.0,0.0
RR Pant,Delhi Capitals,54.0,1792.0,0.0,0.0
MEK Hussey,Chennai Super Kings,49.0,1768.0,0.0,0.0
SS Iyer,Delhi Capitals,61.0,1714.0,0.0,0.0
M Vijay,Chennai Super Kings,66.0,1679.0,0.0,0.0
F du Plessis,Chennai Super Kings,57.0,1660.0,1.0,0.0
SV Samson,Rajasthan Royals,60.0,1558.0,0.0,0.0
S Badrinath,Chennai Super Kings,65.0,1441.0,0.0,0.0
DA Warner,Delhi Capitals,55.0,1435.0,0.0,0.0
AD Russell,Kolkata Knight Riders,48.0,1387.0,54.0,54.0
KS Williamson,Sunrisers Hyderabad,41.0,1319.0,1.0,0.0
CA Lynn,Kolkata Knight Riders,40.0,1302.0,0.0,0.0
JH Kallis,Kolkata Knight Riders,53.0,1295.0,48.0,42.0
KL Rahul,Kings XI Punjab,28.0,1288.0,0.0,0.0
R Dravid,Rajasthan Royals,45.0,1276.0,0.0,0.0
MK Pandey,Kolkata Knight Riders,51.0,1270.0,0.0,0.0
AC Gilchrist,Deccan Chargers,46.0,1220.0,0.0,0.0
G Gambhir,Delhi Capitals,44.0,1188.0,0.0,0.0
GJ Maxwell,Kings XI Punjab,50.0,1186.0,29.0,10.0
RG Sharma,Deccan Chargers,44.0,1170.0,22.0,14.0
JH Kallis,Royal Challengers Bangalore,42.0,1132.0,41.0,23.0
HH Pandya,Mumbai Indians,61.0,1118.0,60.0,42.0
WP Saha,Kings XI Punjab,49.0,1115.0,0.0,0.0
ML Hayden,Chennai Super Kings,32.0,1107.0,0.0,0.0
RV Uthappa,Pune Warriors,45.0,1103.0,0.0,0.0
LMP Simmons,Mumbai Indians,29.0,1079.0,1.0,1.0
KD Karthik,Delhi Capitals,49.0,1036.0,0.0,0.0
SC Ganguly,Kolkata Knight Riders,38.0,1031.0,16.0,8.0
JP Duminy,Delhi Capitals,35.0,1015.0,25.0,13.0
YK Pathan,Rajasthan Royals,42.0,1011.0,35.0,20.0
KC Sangakkara,Kings XI Punjab,34.0,1009.0,0.0,0.0
MK Tiwary,Kolkata Knight Riders,48.0,1002.0,3.0,1.0
SR Watson,Chennai Super Kings,32.0,986.0,11.0,6.0
S Dhawan,Deccan Chargers,29.0,969.0,6.0,4.0
DR Smith,Chennai Super Kings,32.0,965.0,6.0,5.0
AS Yadav,Mumbai Indians,29.0,962.0,0.0,0.0
Yuvraj Singh,Kings XI Punjab,48.0,960.0,27.0,14.0
